scen 1,33.8977
scen 2,33.8933
scen 4,33.912
scen 5,33.8856
scen 8,33.8911
scen 0,3.9906
scen 1,23.9906
scen 2,23.9906
scen 3,3.9917
scen 4,23.9917
scen 5,23.9917
scen 6,23.9917
scen 7,23.9909
scen 0,3.9906
scen 1,23.9906
scen 2,23.9906
scen 3,3.9917
scen 4,23.9917
scen 5,23.9917
scen 6,23.9917
scen 7,23.9909
scen 0,13.9901
scen 3,13.9912
scen 0,13.9901
scen 3,13.9912
scen 0,13.9901
scen 3,13.9912
scen 0,13.9901
scen 3,13.9912
scen 0,13.9901
scen 0,13.9913
scen 0,13.9913
scen 0,13.9923
scen 1,33.9153
scen 2,33.8988
scen 3,33.879
scen 4,33.8856
scen 5,33.857
scen 6,33.8845
