ACC-standby-s1,26.369
ACC-following-s1,33.8933
ACC-speedcontrol-s1,33.8834
ACC-error-s1,24
ACC-hold-s1,24.5095
ACC-standby-s2,26.337
ACC-following-s2,33.8999
ACC-speedcontrol-s2,33.8977
ACC-error-s2,24
ACC-hold-s2,24.534
ACC-standby-s3,34
ACC-following-s3,33.9894
ACC-speedcontrol-s3,33.9916
ACC-error-s3,34
ACC-hold-s3,33.9903
ACC-standby-s4,26.338
ACC-following-s4,33.8889
ACC-speedcontrol-s4,33.8966
ACC-error-s4,24
ACC-hold-s4,25.292
ACC-standby-s5,26.3145
ACC-following-s5,33.8878
ACC-speedcontrol-s5,33.8845
ACC-error-s5,24
ACC-hold-s5,24.535
ACC-standby-s6,14
ACC-following-s6,13.9889
ACC-speedcontrol-s6,13.9889
ACC-error-s6,14
ACC-hold-s6,13.9893
ACC-standby-s7,34
ACC-following-s7,33.9914
ACC-speedcontrol-s7,33.989
ACC-error-s7,34
ACC-hold-s7,33.9893
ACC-standby-s8,26.315
ACC-following-s8,33.8944
ACC-speedcontrol-s8,33.8955
ACC-error-s8,24
ACC-hold-s8,25.2655
